,,SHOT,DRUG,STAB,PD13,RAPE,CHILDA,MCI43P,MCI29P,MCI28P,PD13C,MCI27P,MCI30P,MCI42P,MCI43,MCI29,DRUGFC,MCI50P,ACTIVE,MCI50,MCI28,MCI58P
36085000700,2006,3.0,39.125,3.0,1.125,1.0,0.5,0.25,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085000700,2007,2.375,40.875,4.625,1.125,0.875,0.5,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085000700,2008,4.625,43.375,3.875,1.0,1.75,1.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085000700,2009,3.25,45.25,4.875,1.25,1.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085000700,2010,1.0,48.75,3.375,0.375,1.5,0.5,0.375,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085000700,2011,2.5,64.125,4.375,0.875,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085000700,2012,2.75,54.625,3.5,0.25,0.625,0.125,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085000700,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085000700,2014,1.875,76.0,3.875,0.625,0.625,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085000700,2015,2.125,105.375,7.125,2.25,0.75,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085000700,2016,4.25,131.25,6.625,3.125,0.375,0.125,0.375,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
36085000700,2017,5.0,134.5,6.25,2.375,0.5,0.375,0.25,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085000700,2018,3.5,108.625,4.75,3.875,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085000700,2019,1.5,123.125,5.375,1.875,0.0,0.125,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.125,0.0,0.0,0.0
36085000700,2020,0.75,56.375,3.125,0.25,0.0,0.25,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36085001100,2005,5.25,36.75,5.875,0.875,0.875,0.625,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085001100,2006,3.0,39.125,3.0,1.125,1.0,0.5,0.25,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085001100,2007,2.375,40.875,4.625,1.125,0.875,0.5,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085001100,2008,4.625,43.375,3.875,1.0,1.75,1.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085001100,2009,3.25,45.25,4.875,1.25,1.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085001100,2010,1.0,48.75,3.375,0.375,1.5,0.5,0.375,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085001100,2011,2.5,64.125,4.375,0.875,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085001100,2012,2.75,54.625,3.5,0.25,0.625,0.125,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085001100,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085001100,2014,1.875,76.0,3.875,0.625,0.625,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085001100,2015,2.125,105.375,7.125,2.25,0.75,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085001100,2016,4.25,131.25,6.625,3.125,0.375,0.125,0.375,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
36085001100,2017,5.0,134.5,6.25,2.375,0.5,0.375,0.25,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085001100,2018,3.5,108.625,4.75,3.875,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085001100,2019,1.5,123.125,5.375,1.875,0.0,0.125,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.125,0.0,0.0,0.0
36085001100,2020,0.75,56.375,3.125,0.25,0.0,0.25,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36085002100,2005,5.25,36.75,5.875,0.875,0.875,0.625,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085002100,2006,3.0,39.125,3.0,1.125,1.0,0.5,0.25,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085002100,2007,2.375,40.875,4.625,1.125,0.875,0.5,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085002100,2008,4.625,43.375,3.875,1.0,1.75,1.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085002100,2009,3.25,45.25,4.875,1.25,1.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085002100,2010,1.0,48.75,3.375,0.375,1.5,0.5,0.375,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085002100,2011,2.5,64.125,4.375,0.875,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085002100,2012,2.75,54.625,3.5,0.25,0.625,0.125,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085002100,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085002100,2014,1.875,76.0,3.875,0.625,0.625,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085002100,2015,2.125,105.375,7.125,2.25,0.75,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085002100,2016,4.25,131.25,6.625,3.125,0.375,0.125,0.375,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
36085002100,2017,5.0,134.5,6.25,2.375,0.5,0.375,0.25,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085002100,2018,3.5,108.625,4.75,3.875,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085002100,2019,1.5,123.125,5.375,1.875,0.0,0.125,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.125,0.0,0.0,0.0
36085002100,2020,0.75,56.375,3.125,0.25,0.0,0.25,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36085003900,2005,5.25,36.75,5.875,0.875,0.875,0.625,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085003900,2006,3.0,39.125,3.0,1.125,1.0,0.5,0.25,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085003900,2007,2.375,40.875,4.625,1.125,0.875,0.5,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085003900,2008,4.625,43.375,3.875,1.0,1.75,1.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085003900,2009,3.25,45.25,4.875,1.25,1.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085003900,2010,1.0,48.75,3.375,0.375,1.5,0.5,0.375,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085003900,2011,2.5,64.125,4.375,0.875,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085003900,2012,2.75,54.625,3.5,0.25,0.625,0.125,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085003900,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085003900,2014,1.875,76.0,3.875,0.625,0.625,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085003900,2015,2.125,105.375,7.125,2.25,0.75,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085003900,2016,4.25,131.25,6.625,3.125,0.375,0.125,0.375,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
36085003900,2017,5.0,134.5,6.25,2.375,0.5,0.375,0.25,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085003900,2018,3.5,108.625,4.75,3.875,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085003900,2019,1.5,123.125,5.375,1.875,0.0,0.125,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.125,0.0,0.0,0.0
36085003900,2020,0.75,56.375,3.125,0.25,0.0,0.25,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36085007500,2005,5.25,36.75,5.875,0.875,0.875,0.625,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007500,2006,3.0,39.125,3.0,1.125,1.0,0.5,0.25,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007500,2007,2.375,40.875,4.625,1.125,0.875,0.5,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007500,2008,4.625,43.375,3.875,1.0,1.75,1.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007500,2009,3.25,45.25,4.875,1.25,1.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007500,2010,1.0,48.75,3.375,0.375,1.5,0.5,0.375,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007500,2011,2.5,64.125,4.375,0.875,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007500,2012,2.75,54.625,3.5,0.25,0.625,0.125,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007500,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007500,2014,1.875,76.0,3.875,0.625,0.625,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007500,2015,2.125,105.375,7.125,2.25,0.75,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007500,2016,4.25,131.25,6.625,3.125,0.375,0.125,0.375,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
36085007500,2017,5.0,134.5,6.25,2.375,0.5,0.375,0.25,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007500,2018,3.5,108.625,4.75,3.875,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007500,2019,1.5,123.125,5.375,1.875,0.0,0.125,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.125,0.0,0.0,0.0
36085007500,2020,0.75,56.375,3.125,0.25,0.0,0.25,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36085007700,2005,5.25,36.75,5.875,0.875,0.875,0.625,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007700,2006,3.0,39.125,3.0,1.125,1.0,0.5,0.25,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007700,2007,2.375,40.875,4.625,1.125,0.875,0.5,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007700,2008,4.625,43.375,3.875,1.0,1.75,1.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007700,2009,3.25,45.25,4.875,1.25,1.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007700,2010,1.0,48.75,3.375,0.375,1.5,0.5,0.375,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007700,2011,2.5,64.125,4.375,0.875,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007700,2012,2.75,54.625,3.5,0.25,0.625,0.125,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007700,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007700,2014,1.875,76.0,3.875,0.625,0.625,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007700,2015,2.125,105.375,7.125,2.25,0.75,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007700,2016,4.25,131.25,6.625,3.125,0.375,0.125,0.375,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
36085007700,2017,5.0,134.5,6.25,2.375,0.5,0.375,0.25,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007700,2018,3.5,108.625,4.75,3.875,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085007700,2019,1.5,123.125,5.375,1.875,0.0,0.125,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.125,0.0,0.0,0.0
36085007700,2020,0.75,56.375,3.125,0.25,0.0,0.25,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36085008100,2005,5.25,36.75,5.875,0.875,0.875,0.625,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085008100,2006,3.0,39.125,3.0,1.125,1.0,0.5,0.25,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085008100,2007,2.375,40.875,4.625,1.125,0.875,0.5,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085008100,2008,4.625,43.375,3.875,1.0,1.75,1.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085008100,2009,3.25,45.25,4.875,1.25,1.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085008100,2010,1.0,48.75,3.375,0.375,1.5,0.5,0.375,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085008100,2011,2.5,64.125,4.375,0.875,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085008100,2012,2.75,54.625,3.5,0.25,0.625,0.125,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085008100,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085008100,2014,1.875,76.0,3.875,0.625,0.625,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085008100,2015,2.125,105.375,7.125,2.25,0.75,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085008100,2016,4.25,131.25,6.625,3.125,0.375,0.125,0.375,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
36085008100,2017,5.0,134.5,6.25,2.375,0.5,0.375,0.25,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085008100,2018,3.5,108.625,4.75,3.875,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36085008100,2019,1.5,123.125,5.375,1.875,0.0,0.125,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.125,0.0,0.0,0.0
36085008100,2020,0.75,56.375,3.125,0.25,0.0,0.25,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34017011500,2005,3.0,8.3,2.6,1.6,0.1,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34017011500,2006,2.2,10.5,2.1,0.7,0.5,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34017011500,2007,1.9,10.9,2.3,0.5,0.5,0.3,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34017011500,2008,1.6,11.1,3.5,0.3,0.9,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34017011500,2009,2.2,10.4,3.3,0.7,0.3,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
