,0
36047000700,11201
36047002200,11220
36047003800,11220
36047004300,11231
36047005100,11231
36081051100,11378
36081052000,11412
36081052600,11412
36081054700,11237
36081055600,11427
36081056400,11428
36081068300,11373
36081073900,11375
36081077902,11367
36015000100,14905
36015000600,14905
36019100300,12959
36019101300,12901
36047008000,11220
36047009200,11220
36047010600,11220
36047011600,11219
36055003900,14613
36047041500,11237
36047042000,11223
36047042700,11206
36047043400,11230
36021000800,12075
36021001300,12015
36023970300,13045
36029005700,14207
36047092000,11212
36047092800,11212
36047094402,11203
36047096200,11236
36047097400,11236
36047099200,11236
36065024301,13363
36055004900,14605
36047044000,11230
36047044700,11237
36047045300,11206
36047046400,11204
36047047700,11211
36047048400,11218
36047051002,11226
36047051602,11226
36059416300,11691
36119012400,10506
36091062800,12188
36093020900,12307
36093021500,12307
36115084000,12821
36117020201,14568
36117020402,14519
36081133300,11366
36047019900,11238
36047020500,11238
36047021100,11201
36047022100,11238
36029006902,14213
36081077907,11367
36081079900,11355
36047038800,11223
36047039200,11223
36047039800,11223
36047023200,11219
36047023800,11219
36055013103,14586
36055013505,14626
36055013701,14616
36055014001,14616
36055014204,14606
36055014302,14606
36055014804,14468
36059301101,11024
36059302200,11576
36055005700,14607
36055006200,14619
36055007100,14619
36065025003,13477
36065025700,13425
36065026400,13501
36067000300,13208
36067000600,13208
36081002500,11106
36081003000,11416
36081003900,11106
36081004300,11106
36081005200,11421
36081006100,11102
36081006502,11103
36081008600,11416
36081009800,11416
36081010200,11420
36081010800,11418
36059518203,11797
36059518700,11753
36059519400,11801
36059519704,11803
36059520401,11714
36059521301,11783
36059521602,11762
36059981100,11545
36061025100,10032
36061031900,10280
36063020500,14301
36063021300,14301
36063022200,14304
36063022803,14120
36055008100,14621
36055008702,14606
36055009602,14619
36055010400,14621
36055011201,14622
36055011504,14625
36055011605,14625
36055012304,14534
36093032901,12303
36099950200,13148
36059302600,11001
36067001400,13208
36067002300,13203
36067005602,13210
36067005900,13205
36067010321,13039
36067010900,13212
36067011231,13090
36081014000,11351
36081023800,11435
36081093800,11694
36091062503,12148
36081094700,11356
36081099100,11357
36081099705,11357
36081101700,11357
36081108500,11358
36081109900,11358
36081114700,11358
36081116700,11354
36081118900,11358
36081120100,11355
36091060400,12822
36091060503,12025
36029011100,14206
36029011600,14224
36029012300,14218
36029013400,14085
36047012700,11217
36047013100,11217
36047013800,11209
36047014800,11228
36047015200,11209
36047016000,11209
36047016700,11215
36047017200,11214
36047017800,11214
36047018501,11205
36047019400,11219
36025970300,13775
36027050204,12524
36047053000,11230
36047053800,11230
36047054500,11205
36047055000,11230
36047055500,11211
36047056300,10016
36047056900,11222
36047058600,11223
36047059300,11222
36047067600,11210
36047079601,11225
36047081800,11225
36047086400,11212
36047095600,11236
36047114201,11207
36055001500,14605
36063022804,14120
36065021301,13501
36029003302,14208
36029006601,14213
36029009007,14221
36029010400,14211
36029014604,14051
36029016300,14210
36047001500,11201
36047003700,11201
36055003000,14607
36061027100,10032
36103159511,11950
36107020701,14867
36111952100,12466
36115080300,12839
36119000101,10705
36119002401,10704
36119003200,10550
36119006000,10801
36047028000,11214
36047029900,11233
36061000201,10002
36061002700,10278
36061007600,10001
36061009100,10011
36061012700,10018
36061016001,10029
36061022302,7020
36085015602,10312
36005006900,10451
36055014103,14626
36055015303,14420
36059302300,11507
36059406100,11010
36059411100,11096
36059414201,11510
36119013102,10514
36059416202,11558
36059518600,11753
36087011506,10977
36087012402,10977
36089491200,13696
36101960400,14437
36039080800,12051
36047101000,11236
36047102200,11236
36047109800,11212
36047111800,11208
36047113000,11207
36047115000,11207
36047116200,11207
36047117201,11207
36047119200,11208
36047120200,11208
36051030300,14423
36051030900,14481
36081014500,11103
36081015600,11419
36081016400,11420
36081017600,11420
36119004900,10583
36119005300,10553
36119005901,10801
36119006400,10553
36119007300,10543
36119007900,10580
36119008403,10543
36119009200,10606
36119009900,10583
36119010804,10530
36119011200,10523
36029006201,14207
36081140300,11361
36081140901,11365
36083040100,12188
36083040600,12183
36083052002,12180
36083052303,12198
36083052602,12123
36085000700,10301
36085003600,10305
36085007500,10301
36085011202,10306
36103190603,11946
36105950100,12768
36105950900,12747
36109000800,14853
36109001600,14886
36111950300,12456
36111951800,12466
36111952000,12466
36111953500,12515
36067010800,13212
36067013500,13088
36069050800,14425
36071012900,12518
36073040500,14103
36081000700,11109
36081006201,11417
36081013500,11105
36063023100,14150
36027120000,12571
36027140500,12547
36027150006,12507
36027160005,12572
36027210201,12508
36027220700,12601
36029000700,14220
36055003200,14608
36061014401,10028
36029001402,14204
36029001700,14204
36029005000,14216
36029010500,14211
36085013201,10306
36085014604,10312
36085014607,10312
36085017005,10312
36085017012,10312
36085018701,10314
36085020804,10309
36085024401,10307
36085027702,10312
36085029103,10311
36087010701,10923
36087010803,10956
36087012203,10977
36087012700,10965
36047030600,11224
36047031500,11216
36047032300,11225
36047033300,11213
36047033700,11213
36047034700,11213
36047035000,11224
36047036001,11235
36047036400,11235
36047037100,11233
36081029900,11103
36081032000,11434
36081033900,11369
36081035800,11413
36119013400,10510
36119014300,10566
36119014804,10537
36119014909,10589
36121970300,14037
36059405200,11003
36059406002,11552
36059406600,11530
36059407000,11550
36059407204,11556
36059407802,11554
36059408200,11554
36061014801,10028
36061015300,10069
36061015700,10023
36061016002,10029
36061016600,10029
36061017402,10026
36061018000,10029
36067000200,13290
36067004000,13204
36061018500,10025
36061019600,10035
36061020000,10026
36061020800,10037
36061021500,10027
36061021800,10026
36061022700,10030
36061023400,10039
36067012900,13219
36059416801,11561
36059517302,11542
36081018501,11104
36081019400,11419
36081020400,11435
36081022002,11415
36029017400,14218
36067015100,13214
36067015500,13116
36067016501,13108
36067940000,13120
36069050900,14504
36069051000,14424
36069051700,14456
36071000501,12550
36071002100,18336
36071011102,10941
36103159411,11950
36047061003,11235
36047061004,11235
36047063200,11229
36047064400,11210
36047065400,11229
36075020800,13069
36075021102,13069
36075021602,13126
36077590900,13820
36077591300,13820
36079010700,10996
36081000100,10016
36081001200,11421
36113070300,12801
36115080200,12801
36081015000,11419
36047073400,11210
36047074000,11210
36047075400,11210
36047077600,11210
36047078800,11210
36047079602,11226
36047085200,11203
36047086200,11203
36081084601,11417
36081085700,11355
36081088400,11417
36081092500,11356
36031961300,12857
36033950700,12967
36035971000,12078
36035971100,12078
36037940100,14013
36037951000,14020
36051031400,14437
36061022102,10030
36087011800,10974
36081109700,11360
36085002002,10305
36047075200,11210
36005014300,10456
36005017500,10456
36005020200,10462
36005023100,10457
36005026900,10034
36005033202,10458
36005038302,10457
36005044400,10470
36007013201,13760
36047036200,11235
36047040400,11204
36047044300,11237
36047049000,11218
36047050600,11218
36047054400,11230
36081018800,11420
36081024000,11435
36081030904,11103
36081040100,11368
36081044000,11433
36081047500,11373
36081052500,11378
36081058500,11237
36081063301,11385
36081067700,11379
36081072100,11374
36101962400,14870
36103122404,11735
36103124101,11726
36103146300,11722
36103146613,11741
36103147701,11716
36013037400,14733
36055002200,14613
36103158403,11953
36055008200,14605
36081085900,11355
36081099701,11357
36081119500,11358
36081142900,11358
36083040300,12183
36085002001,10305
36023971200,13045
36027220201,12601
36047005300,11231
36047006600,11220
36047012902,11217
36047019000,11228
36047021700,11238
36007013301,13760
36009960300,14070
36055007801,14607
36055012900,14620
36057070500,12070
36059303301,11507
36047041401,11223
36047043300,11237
36047044800,11230
36047047400,11219
36047050300,11211
36047055100,11205
36047067000,11229
36001000404,12205
36001014608,12084
36047081400,11203
36047088400,11212
36047096600,11236
36047116000,11207
36051031000,14510
36055004000,14613
36007000200,13790
36011041400,13021
36015001100,14905
36005022500,10452
36005026100,10468
36005033800,10469
36005040701,10468
36103111701,11740
36103122502,11798
36081017200,11420
36081032800,11434
36081037100,11371
36047008600,11220
36019102200,12903
36005007000,10472
36005021200,10472
36047034100,11213
36047039600,11223
36047021800,11219
36047023000,11218
36103145807,11749
36001000403,12203
36001001100,12210
36001014803,12147
36005004300,10454
36005013000,10465
36005017902,10452
36061013300,10019
36047098200,11236
36059413600,11510
36047048600,11218
36047051200,11226
36047052300,11211
36059520600,11735
36071000300,12550
36027190402,12590
36065021000,13501
36087012204,10977
36091061903,12151
36047041200,11223
36047083200,11203
36055014301,14606
36059416702,11561
36071015004,10950
36119001504,10704
36029000200,14210
36029006901,14213
36029011800,14224
36029014601,14026
36029016600,14208
36035970900,12078
36045061300,13601
36047005400,11209
36047012000,11220
36081074900,11375
36081003800,11416
36081026400,11433
36047003400,11220
36103112102,11746
36047018600,11228
36047017900,11217
36047021200,11219
36047026700,11216
36047029400,11214
36029007904,14223
36047004100,11217
36047014200,11209
36005024502,10453
36005040502,10458
36029002502,14201
36081053800,11429
36061010100,10119
36067004302,13202
36081026100,11377
36081045400,11432
36085014100,10310
36119001900,10703
36081079701,11355
36081115500,11354
36029004800,14216
36085002700,10305
36059304001,11514
36047030900,11213
36047043500,11237
36061000100,7305
36061025500,7024
36047058800,11223
36061002500,10038
36047072600,11210
36021000600,12051
36023970600,13045
36005034200,10469
36091061303,12866
36091062100,12118
36085029104,10303
36081000600,11421
36087011505,10977
36091061302,12866
36027050104,12582
36005002000,10473
36005003700,10455
36005007500,10451
36005011900,10459
36093033400,12305
36101962200,14821
36103111802,11731
36103123900,11757
36001013100,12183
36001014202,12054
36005044902,10470
36005038301,10457
36001013902,12205
36005012701,10459
36005014400,10465
36005026701,10468
36005016100,10460
36005022300,10452
36005026300,10468
36085006700,10302
36103146604,11749
36103146612,11741
36103158410,11953
36105952100,18415
36059413500,11570
36059414600,11575
36059521200,11783
36061002202,10002
36119007100,10538
36119014806,10588
36061005800,10011
36061008603,10017
36061014602,10028
36061017700,10162
36061022800,10030
36061026700,10034
36063021000,14301
36065020705,13501
36067001500,13203
36067004800,13204
36081056500,11385
36081066900,11379
36081026600,11433
36081032700,11372
36081041100,11373
36081045700,11373
36081051800,11412
36081086500,11354
36047088000,11213
36047101200,11236
36047105801,11239
36047115600,11207
36055002900,14607
36061014700,10019
36061016100,10023
36061019300,10025
36061022400,10027
36047034000,11224
36055012401,14472
36103146615,11741
36119004000,10552
36047003000,11220
36047007800,11220
36055005600,14605
36055011400,14580
36081157903,11426
36047000900,11201
36029009501,14215
36029010101,14215
36029011400,14220
36081037300,11369
36081040000,11412
36081045500,11373
36081049200,11423
36081053100,11378
36061009600,10020
36081091602,11697
36081099801,11691
36081121100,11355
36047054800,11229
36047055800,11223
36047057000,11229
36047067400,11210
36061001402,10002
36061004500,10278
36075021300,13156
36081004500,11106
36081012601,11418
36047006000,11209
36047014500,11215
36047023100,11238
36047028900,11206
36047098800,11236
36029006602,14222
36047121400,11208
36061005600,10011
36081028500,11372
36119013600,10920
36119983000,10507
36103145901,11729
36103146203,11722
36027110004,12563
36027180001,12585
36029004402,14215
36067013600,13088
36067014900,13205
36081137700,11364
36085000900,10301
36085004700,10304
36029009006,14221
36047093600,11203
36047096400,11236
36047099600,11236
36081081400,11436
36081150701,11362
36103146102,11717
36059302400,11507
36103122705,11798
36103124500,11704
36081019200,11420
36081025302,11104
36081058000,11429
36081062200,11411
36081069000,11434
36047038200,11223
36015001000,14904
36047039300,11206
36047040300,11233
36047042200,11223
36047045600,11230
36047051700,11211
36059517102,11542
36059519602,11803
36063020900,14301
36063024301,14172
36033950300,12914
36037950900,14020
36067012700,13209
36071000100,12550
36071011500,12746
36075021103,13069
36081001000,11421
36081005500,11106
36081010100,11105
36081014201,11418
36081071303,11375
36081071702,11373
36081075701,11375
36081098700,11357
36081129104,11364
36083040800,12183
36085000300,10301
36085014608,10312
36119002700,10550
36113070602,12804
36119000201,10705
36059404400,11001
36059406001,11010
36085017009,10312
36085027704,10314
36029014207,14043
36011040700,13021
36109000600,14853
36047052500,11211
36047014700,11215
36047018000,11214
36047020200,11228
36047024200,11219
36047025200,11204
36047026100,11206
36047030000,11214
36047024000,11219
36055014102,14626
36073040400,14103
36075020301,13142
36061012800,10021
36065026300,13440
36067001702,13206
36067011012,13090
36047072000,11210
36047074400,11210
36047084600,11203
36093033300,12307
36103111202,11743
36103122602,11798
36047037402,11224
36059406900,11550
36059409500,11756
36103158009,11790
36103158608,11779
36103159512,11951
36079011200,10535
36119000401,10701
36119001000,10705
36081002200,11416
36081003600,11421
36081008100,11102
36081014202,11418
36081018102,11104
36119009500,10606
36081076902,11415
36081079300,11355
36069051400,14456
36085012804,10306
36059521302,11783
36047082400,11226
36061004400,10009
36047033900,11213
36107020100,14881
36107020300,13827
36107020402,13732
36107020600,18840
36091060502,12134
36091060702,12833
36091060901,12170
36091061500,12025
36047011400,11219
36047012801,11220
36047013200,11228
36047013400,11220
36081051200,11429
36081051500,11378
36115088000,12803
36103135201,11725
36103135301,11788
36065025400,13413
36065025600,13477
36091061701,12020
36103135403,11767
36103145701,11788
36043010900,13365
36115082002,12814
36081012301,11105
36081012400,11418
36081012500,11102
36081013000,11351
36081013200,11351
36081013800,11415
36081014300,11103
36081015200,11419
36081015500,11103
36081016800,11420
36081045000,11432
36081046400,11432
36081046700,11373
36081046900,11373
36081047200,11432
36081048400,11423
36081053000,11412
36081053200,11412
36081053900,11237
36081055200,11427
36081055700,11237
36081056200,11428
36113073500,12190
36081146700,11361
36081147900,11363
36081148300,11361
36081152901,11362
36081152902,11362
36067004301,13202
36067004400,13210
36067004600,13224
36067005000,13202
36067005100,13207
36045061800,13605
36081119100,11358
36081122300,11365
36081122702,11367
36081126700,11432
36081133900,11366
36081138501,11361
36081140902,11365
36103170001,11948
36103180300,11944
36103190402,11941
36075020302,13114
36075020702,13036
36075021000,13126
36075021402,13126
36075021603,13126
36081144700,11361
36081145900,11358
36091061901,12020
36091062501,12151
36047043800,11230
36047044100,11237
36047045200,11230
36047046202,11230
36047047000,11204
36047047800,11219
36047048500,11211
36061026300,10032
36061026900,10034
36061027300,10034
36067010200,13029
36067011011,13088
36067011022,13212
36067011202,13041
36103190503,11941
36103190706,11968
36017970200,13052
36059301400,11050
36059302102,11576
36059302502,11577
36059303000,11040
36059303400,11596
36067011500,13027
36067011700,13027
36067012000,13080
36009960200,14101
36047027500,11216
36047027700,11221
36061008900,10014
36061009300,10199
36061009800,10154
36061010602,10065
36061011201,10153
36061011600,10065
36061012100,10018
36061013000,10021
36061013500,10019
36061013700,10103
36059303700,11501
36059303900,11514
36059404700,11040
36047036002,11235
36047035601,11224
36047094401,11203
36065980100,13441
36067000400,13208
36067000900,13208
36067002101,13204
36067003000,13204
36067003400,13203
36067003601,13206
36067003602,13206
36067003800,13204
36019102000,12924
36021000300,12130
36021001200,12015
36059406300,11010
36047038600,11223
36047038900,11206
36047039900,11237
36057072200,12095
36047025800,11204
36047026500,11216
36047027000,11204
36047027200,11204
36047036600,11235
36061017200,10029
36061017900,10025
36061018200,10026
36061019200,10035
36061019701,10025
36061020300,10115
36061020901,10027
36061021703,10030
36061021900,7020
36061023100,10031
36061023300,10031
36047006500,11231
36047006800,11220
36047006900,11231
36047007500,11231
36047007700,11231
36047009400,11220
36047010000,11220
36047010800,11220
36047040200,11223
36047040900,11237
36047041800,11223
36047042300,11206
36047042600,11223
36047042800,11204
36047022600,11218
36047023600,11219
36047024100,11205
36047024600,11204
36045060100,13640
36015010300,14814
36015010700,14845
36047017700,11215
36055980000,14623
36055980100,14617
36057070400,12070
36057070600,12010
36057070800,12010
36047025600,11204
36047073800,11210
36047075800,11230
36047076200,11210
36047077400,11210
36065024000,13469
36065024200,13309
36065024302,13363
36065025100,13417
36047032600,11224
36047032800,11224
36047034500,11213
36047034800,11224
36047001100,11201
36047002100,11201
36047003100,11201
36047004400,11209
36047004700,11231
36071015100,10924
36059405700,11580
36059416900,11561
36059517400,11579
36087011601,10974
36087011602,7495
36087011700,10974
36087012202,10977
36087012300,10977
36087012800,10965
36087013003,10913
36059517701,11548
36001014700,12023
36005039400,10467
36005039600,10467
36091062505,12151
36091062700,12047
36093020500,12308
36093021200,12307
36093021800,12304
36093032200,12305
36093032502,12008
36107020702,14859
36109000200,14853
36085018702,10314
36085020100,10310
36035971400,12070
36037950300,14013
36037950800,14020
36051030500,14454
36051030700,14480
36081074100,11375
36081076901,11375
36081077500,11351
36081079200,11436
36081083700,11355
36089490200,13662
36047060600,11235
36047062000,11235
36047064200,11229
36059414100,11575
36061002601,10002
36061003001,10002
36061003400,10009
36061004100,10278
36061005000,10003
36065020900,13495
36109000500,14853
36047065200,11229
36047066200,11229
36047068800,11229
36047069800,11229
36067016600,13060
36067016801,13152
36013030200,14701
36013030500,14701
36013035800,14063
36115091000,12834
36033951100,12922
36035970200,12117
36035971200,12095
36005034300,10471
36005034500,10471
36005035100,10463
36005036700,10460
36005037300,10457
36005037600,10467
36103146706,11795
36103146800,11702
36103147001,11702
36029001600,14212
36029002400,14212
36047027800,11214
36047028100,11206
36047028300,11206
36047028400,11214
36047028700,11206
36047028800,11214
36047029200,11214
36047029700,11221
36047030700,11233
36071014501,10969
36073040801,14470
36119012304,10504
36111952900,12461
36111953300,12440
36005037900,10457
36005039200,10467
36039080600,12176
36103147003,11795
36047031100,11213
36081006900,11102
36081008500,11106
36099950700,14456
36089491700,13664
36089492000,13630
36105951900,12720
36033950900,12986
36123150500,14874
36065021201,13501
36065021401,13417
36065021701,13413
36065022500,13440
36095740400,13459
36095740700,12187
36097950100,14878
36055011000,14609
36055011203,14622
36071010801,12549
36071011101,10941
36071011200,10924
36071012300,10941
36031960900,12946
36105952200,18415
36105952400,18435
36093033200,12307
36047070600,11234
36047073200,11210
36069051300,14424
36069051800,14456
36071000400,12550
36071000502,12550
36071001200,10924
36065023200,13492
36005032400,10469
36005033000,10458
36025971000,13753
36099950600,14532
36111951400,12443
36111951600,12443
36081060600,11411
36117020202,14519
36117020500,14568
36117021000,14505
36047096000,11203
36047097000,11236
36081090700,11356
36081093402,11694
36081094201,11694
36081097202,11692
36081097300,11357
36071010300,12550
36047089400,11212
36047090600,11207
36047091000,11207
36047093400,11203
36071013000,12553
36117021400,14489
36117021502,14590
36011040400,13166
36011040600,13166
36011040900,13092
36039081101,12473
36081099802,11691
36081100801,11691
36081102900,11357
36029016400,14203
36047079000,11226
36047080200,11225
36047080600,11225
36047080800,11225
36047081600,11225
36047082200,11225
36047083000,11210
36047083600,11203
36047084800,11203
36047085800,11203
36047087401,11213
36047087800,11213
36055009200,14613
36059300500,11023
36059300800,11363
36099951000,14847
36101960100,14418
36103200902,11963
36105950300,12741
36105950800,12754
36049950500,13682
36029005801,14207
36029006100,14213
36029006301,14213
36029007000,14213
36047037000,11223
36045061000,13638
36045061500,13601
36055005500,14605
36055005800,14609
36055006500,14611
36055007000,14611
36055008000,14605
36101960200,14826
36101960300,14826
36061000800,10278
36061001002,10002
36061001300,10280
36001001700,12208
36001001901,12208
36001013200,12189
36009961000,14741
36011040100,13156
36047056200,11229
36063023401,14094
36055008500,14616
36055008701,14606
36007014302,13850
36029016700,14206
36029017000,14208
